New York (Central Park), New York October Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189510,51.1,-5.9
189610,52.5,-4.5
189710,55.5,-1.5
189810,58.2,1.2
189910,57.8,0.8
190010,60.2,3.2
190110,54.8,-2.2
190210,56.7,-0.3
190310,57.0,0.0
190410,52.0,-5.0
190510,57.4,0.4
190610,55.5,-1.5
190710,50.6,-6.4
190810,58.7,1.7
190910,53.6,-3.4
191010,58.2,1.2
191110,55.4,-1.6
191210,58.6,1.6
191310,58.0,1.0
191410,58.8,1.8
191510,57.0,0.0
191610,57.0,0.0
191710,52.3,-4.7
191810,58.4,1.4
191910,58.6,1.6
192010,60.9,3.9
192110,56.1,-0.9
192210,57.9,0.9
192310,55.8,-1.2
192410,56.4,-0.6
192510,50.0,-7.0
192610,54.5,-2.5
192710,58.9,1.9
192810,58.2,1.2
192910,54.0,-3.0
193010,54.9,-2.1
193110,60.7,3.7
193210,57.8,0.8
193310,55.5,-1.5
193410,53.9,-3.1
193510,56.8,-0.2
193610,56.8,-0.2
193710,54.5,-2.5
193810,59.3,2.3
193910,56.7,-0.3
194010,53.1,-3.9
194110,60.1,3.1
194210,58.2,1.2
194310,55.2,-1.8
194410,56.4,-0.6
194510,55.6,-1.4
194610,61.1,4.1
194710,63.0,6.0
194810,56.0,-1.0
194910,62.5,5.5
195010,59.4,2.4
195110,58.0,1.0
195210,55.1,-1.9
195310,60.1,3.1
195410,61.3,4.3
195510,59.4,2.4
195610,57.7,0.7
195710,55.8,-1.2
195810,55.1,-1.9
195910,59.4,2.4
196010,57.6,0.6
196110,59.8,2.8
196210,56.9,-0.1
196310,61.4,4.4
196410,54.6,-2.4
196510,56.9,-0.1
196610,55.7,-1.3
196710,56.8,-0.2
196810,60.1,3.1
196910,57.3,0.3
197010,58.5,1.5
197110,62.6,5.6
197210,53.4,-3.6
197310,60.1,3.1
197410,54.0,-3.0
197510,59.1,2.1
197610,52.8,-4.2
197710,55.0,-2.0
197810,55.8,-1.2
197910,55.5,-1.5
198010,55.5,-1.5
198110,53.5,-3.5
198210,57.6,0.6
198310,57.1,0.1
198410,61.1,4.1
198510,58.7,1.7
198610,57.7,0.7
198710,53.5,-3.5
198810,52.4,-4.6
198910,57.8,0.8
199010,61.4,4.4
199110,58.0,1.0
199210,54.1,-2.9
199310,55.5,-1.5
199410,57.6,0.6
199510,61.0,4.0
199610,56.9,-0.1
199710,57.3,0.3
199810,58.0,1.0
199910,56.6,-0.4
200010,57.5,0.5
200110,59.0,2.0
200210,55.7,-1.3
200310,55.6,-1.4
200410,56.5,-0.5
200510,58.4,1.4
200610,56.8,-0.2
200710,64.1,7.1
200810,55.7,-1.3
200910,55.5,-1.5
201010,58.7,1.7
201110,57.6,0.6
201210,58.6,1.6
201310,60.2,3.2
201410,59.6,2.6
201510,58.1,1.1
201610,58.8,1.8
201710,64.1,7.1
201810,57.7,0.7
201910,59.9,2.9
202010,57.9,0.9
202110,62.0,5.0
202210,56.9,-0.1
